itemID,director,movieCountry,movieLanguage,movieYear,genre1,genre2,genre3,actor1,actor2,actor3,rating
11,346,37,9,2010,7,18,18,862,61,1378,4
214,493,37,9,2003,14,21,17,704,1622,309,3
215,98,37,9,2010,1,14,17,1857,1562,939,2
216,158,37,9,2003,7,0,0,172,513,535,4
99,396,37,9,2010,1,3,19,1622,699,497,5
228,542,37,9,2009,8,21,0,127,1404,1562,4
229,253,37,9,2002,6,7,8,1679,513,660,2
235,506,37,9,2001,10,17,18,127,98,1840,3
237,804,7,9,2010,1,7,23,1504,1744,517,5
166,126,37,9,2010,4,3,7,862,667,366,4
107,568,37,9,2005,7,12,18,1439,1953,1742,5
74,650,36,9,2005,1,3,13,1478,587,902,4
3514,808,37,9,2004,1,18,0,223,574,1478,3
3515,765,37,9,2005,1,3,12,769,916,1345,4
3516,765,37,9,2007,1,3,12,769,916,1345,5
178,453,37,9,2010,4,3,7,1866,1849,932,4
3545,201,37,9,2010,1,3,7,1344,1284,550,2
3546,52,37,9,2003,10,18,22,1008,1439,1593,4
3550,747,36,9,2005,10,17,21,1439,1715,295,3
112,741,37,9,1984,1,3,0,710,1054,985,5
167,208,37,9,2004,10,17,19,139,82,1330,5
3000,741,37,9,1981,1,3,18,710,1046,1502,5
2491,669,37,9,1985,3,7,19,1351,364,1155,4
3744,669,37,9,1989,3,7,11,1351,364,1837,4
3745,669,37,9,1990,3,7,11,1351,364,1837,4
2677,650,36,9,1979,19,14,21,1873,1746,1915,3
3847,736,37,9,2010,10,16,18,321,354,575,5
3748,221,37,9,2010,1,10,21,969,98,1500,4
3875,291,8,17,2010,6,10,0,332,1990,320,3
3907,727,37,9,1986,1,14,19,556,1488,1144,3
3770,411,37,9,2010,1,3,19,877,640,244,2
3921,716,37,10,2006,6,10,13,1113,856,1613,3
3927,789,37,9,2010,7,0,0,839,1899,1816,2
86,467,13,10,2010,1,3,12,1212,672,1540,5
3923,485,37,9,2007,1,12,21,1437,589,1675,4
3743,591,37,9,2010,7,0,0,1620,172,1483,3
3931,64,37,9,2010,10,21,0,1022,1180,74,4
190,728,37,9,1998,1,3,12,1947,1774,1119,4
191,279,37,9,2002,1,3,12,1947,1119,1640,3
192,176,37,9,2004,1,3,12,1947,917,1667,4
3965,608,37,9,2003,7,0,0,16,794,1258,4
3966,296,37,9,2011,7,18,0,1416,139,1101,4
3969,260,37,9,1944,7,16,0,1582,582,160,5
3971,117,37,9,1953,10,16,18,1171,1322,868,5
3973,81,37,9,1963,7,18,0,793,1742,1206,5
1905,500,37,9,1971,11,16,12,653,789,1530,3
3970,407,37,9,2011,1,19,0,5,1374,1566,1
