userID,social,endEmo,dominantEmo,mood
15,2,2,2,1
15,2,3,3,2
15,2,3,3,2
15,2,2,2,1
15,2,2,2,2
15,2,7,4,2
15,2,6,6,2
15,2,7,7,2
15,2,2,2,1
15,2,2,2,1
15,2,2,2,2
15,2,1,6,2
15,2,7,7,2
15,2,2,2,2
15,2,2,2,2
15,1,2,2,2
15,2,7,7,2
15,2,1,1,2
15,2,1,1,2
15,2,2,2,2
15,2,4,4,2
15,2,2,2,2
15,2,2,2,2
15,2,2,2,2
15,2,2,2,2
15,2,3,3,2
15,2,2,2,2
15,2,2,2,1
15,2,7,7,1
15,2,6,6,2
15,2,7,7,2
15,2,4,4,2
15,2,7,7,2
15,2,2,2,1
15,2,2,2,1
15,2,7,7,2
15,2,4,1,2
15,2,3,7,1
15,2,6,6,1
15,2,2,2,1
15,2,2,2,2
15,2,2,2,1
15,2,2,2,1
15,2,2,2,1
15,2,2,2,1
15,2,2,2,1
15,2,7,7,1
15,2,2,2,1
15,2,7,7,2
15,2,2,2,1
15,2,2,2,1
15,2,2,2,2
15,2,6,6,1
15,2,2,2,2
15,2,2,2,3
15,2,2,2,2
15,2,2,2,2
15,2,2,2,2
15,2,2,2,1
15,2,2,2,1
15,1,7,7,2
15,2,2,2,2
15,2,2,2,1
15,2,7,7,2
15,2,7,7,2
15,2,7,7,1
15,2,7,7,2
15,2,7,7,2
15,2,7,7,2
15,2,4,4,2
15,2,4,7,2
15,2,2,2,2
15,2,4,4,2
15,1,2,2,1
15,2,2,2,1
15,2,2,2,1
15,1,2,2,1
15,2,7,7,2
15,2,7,7,2
15,2,7,7,2
15,2,7,7,2
15,2,7,7,2
15,2,2,2,2
15,2,7,7,2
15,2,2,2,2
15,2,7,7,2
15,1,7,7,2
15,1,6,6,1
15,1,7,7,2
15,1,7,7,2
15,2,2,2,1
15,2,7,7,2
15,2,7,7,2
15,2,7,7,2
15,1,7,7,2
15,2,7,7,1
15,2,2,2,1
15,2,7,7,1
15,2,7,7,1
15,2,2,2,1
15,2,2,2,1
15,2,7,7,1
15,2,7,7,1
15,2,2,2,1
15,2,2,2,1
15,2,2,2,1
15,2,2,2,1
15,2,2,7,2
15,2,7,7,2
15,2,4,4,2
15,2,2,2,1
15,7,7,7,2
15,2,2,2,2
15,2,7,7,1
15,2,7,7,2
15,1,7,7,2
15,2,7,7,2
15,2,7,7,2
15,2,2,2,1
15,2,2,2,1
15,2,7,7,2
15,7,7,7,3
15,7,7,7,3
15,7,7,7,3
15,7,7,7,3
15,7,7,7,3
15,7,7,7,3
15,2,7,7,2
15,7,7,7,3
15,2,7,7,1
15,7,7,7,3
15,7,7,7,3
15,7,7,7,3
15,7,7,7,3
15,7,7,7,3
15,7,7,7,3
15,7,7,7,3
15,2,7,7,2
15,7,7,7,3
15,7,7,7,3
15,2,7,7,2
15,2,7,7,2
15,2,7,7,2
15,2,7,7,2
15,2,7,7,2
15,2,6,1,2
15,7,7,7,3
15,7,7,7,3
15,7,7,7,3
15,7,7,7,3
15,7,7,7,3
15,7,7,7,3
15,2,1,1,2
15,2,7,7,2
15,2,7,7,2
15,2,7,7,1
15,7,7,7,3
15,7,7,7,3
15,7,7,7,3
15,2,2,2,2
15,2,2,2,2
15,2,7,7,2
15,2,2,2,2
15,1,7,7,2
15,7,7,7,3
15,1,7,7,2
15,2,2,2,2
15,2,7,7,1
315,2,2,2,1
315,2,3,3,2
315,2,3,3,2
315,2,2,2,1
315,2,2,2,2
315,2,7,4,2
315,2,6,6,2
315,2,7,7,2
315,2,2,2,1
315,2,2,2,1
315,2,2,2,2
315,2,1,6,2
315,2,7,7,2
315,2,2,2,2
315,2,2,2,2
315,1,2,2,2
315,2,7,7,2
315,2,1,1,2
315,2,1,1,2
315,2,2,2,2
315,2,4,4,2
315,2,2,2,2
315,2,2,2,2
315,2,2,2,2
315,2,2,2,2
315,2,3,3,2
315,2,2,2,2
315,2,2,2,1
315,2,7,7,1
315,2,6,6,2
315,2,7,7,2
315,2,4,4,2
315,2,7,7,2
315,2,2,2,1
315,2,2,2,1
315,2,7,7,2
315,2,4,1,2
315,2,3,7,1
315,2,6,6,1
315,2,2,2,1
315,2,2,2,2
315,2,2,2,1
315,2,2,2,1
315,2,2,2,1
315,2,2,2,1
315,2,2,2,1
315,2,7,7,1
315,2,2,2,1
315,2,7,7,2
315,2,2,2,1
315,2,2,2,1
315,2,2,2,2
315,2,6,6,1
315,2,2,2,2
315,2,2,2,3
315,2,2,2,2
315,2,2,2,2
315,2,2,2,2
315,2,2,2,1
315,2,2,2,1
315,1,7,7,2
315,2,2,2,2
315,2,2,2,1
315,2,7,7,2
315,2,7,7,2
315,2,7,7,1
315,2,7,7,2
315,2,7,7,2
315,2,7,7,2
315,2,4,4,2
315,2,4,7,2
315,2,2,2,2
315,2,4,4,2
315,1,2,2,1
315,2,2,2,1
315,2,2,2,1
315,1,2,2,1
315,2,7,7,2
315,2,7,7,2
315,2,7,7,2
315,2,7,7,2
315,2,7,7,2
315,2,2,2,2
315,2,7,7,2
315,2,2,2,2
315,2,7,7,2
315,1,7,7,2
315,1,6,6,1
315,1,7,7,2
315,1,7,7,2
315,2,2,2,1
315,2,7,7,2
315,2,7,7,2
315,2,7,7,2
315,1,7,7,2
315,2,7,7,1
315,2,2,2,1
315,2,7,7,1
315,2,7,7,1
