itemID,movieYear
11,2010
214,2003
215,2010
216,2003
99,2010
228,2009
229,2002
235,2001
237,2010
166,2010
107,2005
74,2005
3514,2004
3515,2005
3516,2007
178,2010
3545,2010
3546,2003
3550,2005
112,1984
167,2004
3000,1981
2491,1985
3744,1989
3745,1990
2677,1979
3847,2010
3748,2010
3875,2010
3907,1986
3770,2010
3921,2006
3927,2010
86,2010
3923,2007
3743,2010
3931,2010
190,1998
191,2002
192,2004
3965,2003
3966,2011
3969,1944
3971,1953
3973,1963
1905,1971
3970,2011
3964,2011
3952,2011
3347,1952
3991,1973
15,1971
3005,1975
2546,1948
2986,1942
4015,2003
4016,1994
2646,1984
3883,1963
3999,2011
3958,2011
3810,1982
3992,2011
4019,2011
4021,2009
4026,2009
4027,2011
4028,2010
4003,2011
4037,2008
4041,2002
4050,2004
4055,2011
4056,1988
4061,2011
4004,2011
4085,1986
4086,2011
4066,2011
248,1972
249,1974
250,1990
4101,1984
2679,1990
4054,2011
4105,2010
2725,1986
2205,1992
4065,1997
3869,2011
4070,2011
4036,2011
4146,2001
4138,2011
3661,1995
4087,2011
4162,1988
3925,2009
4173,2011
4071,2011
3455,1996
4195,2011
4199,1987
3312,1993
4236,2011
4237,2009
4007,2011
3098,1977
4281,2011
4282,2011
4272,2011
4228,2011
4300,2011
4301,2011
4270,2008
4302,1980
4004,2011
4147,2011
3950,2011
172,2010
150,2000
3954,2005
223,2007
152,2006
151,2003
3313,1993
3890,2009
4306,2011
4045,2008
4316,2012
2628,1994
3548,2002
2592,1994
4163,2011
4274,2005
196,2009
3646,2004
4100,2011
2143,1995
2009,1964
4324,2011
4288,2012
4325,2005
2343,1964
4326,2012
3650,1959
4314,1999
3635,2009
141,2009
220,2004
3219,1991
218,2003
4329,2006
4331,2012
4219,2011
4333,1984
3773,1991
3856,2009
3753,2006
4348,2011
4349,2012
4350,2011
4351,2009
4352,2012
3781,2007
4353,1993
4360,1990
4319,2011
11,2010
214,2003
215,2010
216,2003
99,2010
228,2009
229,2002
235,2001
237,2010
166,2010
107,2005
74,2005
3514,2004
3515,2005
3516,2007
178,2010
3545,2010
3546,2003
3550,2005
112,1984
167,2004
3000,1981
2491,1985
3744,1989
3745,1990
2677,1979
3847,2010
3748,2010
3875,2010
3907,1986
3770,2010
3921,2006
3927,2010
86,2010
3923,2007
3743,2010
3931,2010
190,1998
191,2002
192,2004
3965,2003
3966,2011
3969,1944
3971,1953
3973,1963
1905,1971
3970,2011
3964,2011
3952,2011
3347,1952
3991,1973
15,1971
3005,1975
2546,1948
2986,1942
4015,2003
4016,1994
2646,1984
3883,1963
3999,2011
3958,2011
3810,1982
3992,2011
4019,2011
4021,2009
4026,2009
4027,2011
4028,2010
4003,2011
4037,2008
4041,2002
4050,2004
4055,2011
4056,1988
4061,2011
4004,2011
4085,1986
4086,2011
4066,2011
248,1972
249,1974
250,1990
4101,1984
2679,1990
4054,2011
4105,2010
2725,1986
2205,1992
4065,1997
3869,2011
4070,2011
4036,2011
4146,2001
4138,2011
3661,1995
4087,2011
4162,1988
3925,2009
4173,2011
4071,2011
3455,1996
4195,2011
4199,1987
3312,1993
4236,2011
4237,2009
4007,2011
3098,1977
4281,2011
4282,2011
4272,2011
4228,2011
4300,2011
4301,2011
4270,2008
4302,1980
4004,2011
4147,2011
3950,2011
172,2010
150,2000
3954,2005
223,2007
152,2006
151,2003
3313,1993
3890,2009
4306,2011
4045,2008
4316,2012
2628,1994
3548,2002
2592,1994
4163,2011
4274,2005
196,2009
3646,2004
4100,2011
2143,1995
2009,1964
4324,2011
4288,2012
4325,2005
2343,1964
4326,2012
3650,1959
4314,1999
3635,2009
141,2009
220,2004
3219,1991
218,2003
4329,2006
4331,2012
4219,2011
4333,1984
3773,1991
3856,2009
3753,2006
4348,2011
4349,2012
4350,2011
4351,2009
4352,2012
3781,2007
4353,1993
4360,1990
4319,2011
11,2010
214,2003
215,2010
216,2003
99,2010
228,2009
229,2002
235,2001
237,2010
166,2010
107,2005
74,2005
3514,2004
3515,2005
3516,2007
178,2010
3545,2010
3546,2003
3550,2005
112,1984
167,2004
3000,1981
2491,1985
3744,1989
3745,1990
2677,1979
3847,2010
3748,2010
3875,2010
3907,1986
3770,2010
3921,2006
3927,2010
86,2010
3923,2007
3743,2010
3931,2010
190,1998
191,2002
192,2004
3965,2003
3966,2011
3969,1944
3971,1953
3973,1963
1905,1971
3970,2011
3964,2011
3952,2011
3347,1952
3991,1973
15,1971
3005,1975
2546,1948
2986,1942
4015,2003
4016,1994
2646,1984
3883,1963
3999,2011
3958,2011
3810,1982
3992,2011
4019,2011
4021,2009
4026,2009
4027,2011
4028,2010
4003,2011
4037,2008
