itemID,director,movieLanguage,actor1,actor2,actor3
11,346,9,862,61,1378
214,493,9,704,1622,309
215,98,9,1857,1562,939
216,158,9,172,513,535
99,396,9,1622,699,497
228,542,9,127,1404,1562
229,253,9,1679,513,660
235,506,9,127,98,1840
237,804,9,1504,1744,517
166,126,9,862,667,366
107,568,9,1439,1953,1742
74,650,9,1478,587,902
3514,808,9,223,574,1478
3515,765,9,769,916,1345
3516,765,9,769,916,1345
178,453,9,1866,1849,932
3545,201,9,1344,1284,550
3546,52,9,1008,1439,1593
3550,747,9,1439,1715,295
112,741,9,710,1054,985
167,208,9,139,82,1330
3000,741,9,710,1046,1502
2491,669,9,1351,364,1155
3744,669,9,1351,364,1837
3745,669,9,1351,364,1837
2677,650,9,1873,1746,1915
3847,736,9,321,354,575
3748,221,9,969,98,1500
3875,291,17,332,1990,320
3907,727,9,556,1488,1144
3770,411,9,877,640,244
3921,716,10,1113,856,1613
3927,789,9,839,1899,1816
86,467,10,1212,672,1540
3923,485,9,1437,589,1675
3743,591,9,1620,172,1483
3931,64,9,1022,1180,74
190,728,9,1947,1774,1119
191,279,9,1947,1119,1640
192,176,9,1947,917,1667
3965,608,9,16,794,1258
3966,296,9,1416,139,1101
3969,260,9,1582,582,160
3971,117,9,1171,1322,868
3973,81,9,793,1742,1206
1905,500,9,653,789,1530
3970,407,9,5,1374,1566
3964,547,9,224,8,1620
3952,114,9,74,645,1222
3347,722,9,652,502,464
3991,259,9,1508,1630,1631
15,195,9,384,93,715
3005,541,9,794,1213,1968
2546,373,9,750,1942,1850
2986,507,9,750,767,1505
4015,485,9,165,893,1346
4016,467,9,869,645,1416
2646,541,9,597,1870,545
3883,390,9,1787,819,1599
3999,146,9,46,1857,1824
3958,814,9,559,8,887
3810,747,9,516,920,1825
3992,497,9,823,1348,1646
4019,803,9,408,388,986
4021,152,9,1343,560,167
4026,797,9,710,1575,136
4027,712,9,1724,1865,932
4028,651,9,1647,1581,503
4003,199,9,807,1372,1912
4037,340,10,1876,1124,1379
4041,110,9,136,1404,812
4050,88,10,631,129,1201
4055,353,9,1323,938,126
4056,763,9,1352,35,648
4061,324,9,1658,727,893
4004,488,9,1667,202,1532
4085,430,9,487,1673,19
4086,503,9,1740,999,966
4066,704,9,846,311,860
248,224,9,1272,24,811
249,224,9,24,1624,482
250,224,9,24,90,482
4101,288,9,1097,1203,486
2679,490,9,1620,1575,940
4054,800,9,1380,1040,1489
4105,709,15,1072,1090,1982
2725,307,9,1746,283,1341
2205,165,9,1746,309,305
4065,330,9,1746,1972,1640
3869,270,9,969,779,9
4070,267,9,1782,1663,1022
4036,688,9,817,633,234
4146,763,9,1267,1854,728
4138,396,9,424,710,1473
3661,474,15,141,23,761
4087,810,9,1483,1559,1257
4162,196,9,110,1019,1183
3925,302,10,1807,1442,18
4173,707,9,747,415,593
4071,570,9,1648,673,1644
3455,158,9,1245,432,1595
4195,446,9,1113,316,1106
4199,158,9,432,196,1110
3312,725,9,313,1106,341
4236,482,9,106,335,944
4237,512,11,980,1941,696
4007,654,9,969,1521,755
3098,255,9,1263,710,282
4281,186,9,16,1067,24
4282,740,9,1257,1297,1151
4272,490,9,134,169,329
4228,105,9,969,5,1364
4300,741,9,832,94,424
4301,711,9,1375,1091,527
4270,465,9,531,1196,1854
4302,294,9,1263,710,282
4004,488,9,1667,202,1532
4147,72,9,223,979,1539
3950,432,9,336,1416,1868
172,763,9,1335,969,728
150,106,9,1495,747,704
3954,255,9,595,718,1416
223,270,9,969,1478,1076
152,99,9,747,704,753
151,106,9,1495,747,753
3313,287,9,433,346,297
3890,609,9,1975,540,1353
4306,91,9,1863,907,1751
4045,135,9,349,1343,719
4316,619,9,1331,924,120
2628,669,9,1866,1637,646
3548,128,9,1576,956,472
2592,0,9,1626,902,814
4163,753,9,1933,566,256
4274,654,9,1989,1088,685
196,112,9,1576,1548,472
3646,740,9,660,223,1297
4100,572,9,1994,1368,260
2143,499,9,1323,827,1712
2009,668,9,1023,487,459
4324,283,9,1623,1008,1458
4288,244,9,895,1002,1179
4325,428,9,315,1765,1282
2343,723,9,1533,0,0
4326,552,9,1437,372,1934
3650,140,9,1283,192,537
4314,677,9,1019,746,1596
3635,595,9,528,368,992
141,287,9,414,1826,897
220,23,9,1957,239,246
3219,307,9,131,1191,530
218,270,9,969,1478,1076
4329,435,9,607,823,673
4331,41,9,1819,1230,1683
4219,741,9,903,561,1526
4333,171,9,1129,611,594
3773,516,9,251,431,84
3856,143,9,1584,1725,748
3753,586,9,1001,1404,1755
4348,108,9,1297,1699,1838
4349,752,9,1019,1185,130
4350,477,9,667,1372,1366
4351,18,10,294,31,222
4352,766,9,1014,363,689
3781,657,9,794,1404,1711
4353,647,9,1929,1301,890
4360,391,9,969,81,1544
4319,525,9,866,179,952
11,346,9,862,61,1378
214,493,9,704,1622,309
215,98,9,1857,1562,939
216,158,9,172,513,535
99,396,9,1622,699,497
228,542,9,127,1404,1562
229,253,9,1679,513,660
235,506,9,127,98,1840
237,804,9,1504,1744,517
166,126,9,862,667,366
107,568,9,1439,1953,1742
74,650,9,1478,587,902
3514,808,9,223,574,1478
3515,765,9,769,916,1345
3516,765,9,769,916,1345
178,453,9,1866,1849,932
3545,201,9,1344,1284,550
3546,52,9,1008,1439,1593
3550,747,9,1439,1715,295
112,741,9,710,1054,985
